,date,India,Germany,Italy,France,Russia,Germany_fitted,Italy_fitted,France_fitted,India_fitted,Russia_fitted
0,2020-04-20,18539.0,141672.0,181228.0,154327.0,47121.0,141672.0,181228.0,154327.0,18539.0,47121.0
1,2020-04-21,20080.0,143457.0,183957.0,156993.0,52763.0,171662.00236831178,182800.36582719823,192768.73969830235,19535.355132796532,50040.06610324663
2,2020-04-22,21370.0,145694.0,187327.0,158791.0,57999.0,177779.4817178602,184363.60419653173,216830.56871432243,20584.752868931148,53128.11395608401
3,2020-04-23,23077.0,148046.0,189973.0,157082.0,62773.0,161014.5231756869,185917.17508587785,220950.0314719232,21689.96145409417,56393.4230691239
4,2020-04-24,24530.0,150383.0,192994.0,159893.0,68622.0,131835.4557367002,187460.5393343426,207100.20487574543,22853.88751915753,59844.48851291543
5,2020-04-25,26283.0,152438.0,195351.0,161571.0,74588.0,100612.78086634325,188993.1590403684,181850.79487181708,24079.58232971593,63490.00082243134
6,2020-04-26,27890.0,154175.0,197675.0,162204.0,80949.0,73244.97508988569,190514.4980918531,152111.63734073885,25370.248127941293,67338.82166613871
7,2020-04-27,29451.0,155193.0,199414.0,165890.0,87147.0,51684.58373154292,192024.02259320617,122835.74415424933,26729.2449805762,71399.95517641079
8,2020-04-28,31324.0,156337.0,201505.0,169021.0,93558.0,35730.224168750676,193521.20129972827,96721.4709461737,28160.097585148593,75682.51435447518
9,2020-04-29,33062.0,157641.0,203591.0,167566.0,99399.0,24369.568894258497,195005.506153388,74794.50601987755,29666.50222161231,80195.68149414792
10,2020-04-30,34863.0,159119.0,205463.0,168784.0,106498.0,16473.840074041866,196476.41271513436,57092.64930990321,31252.33409669633,84948.66433758868
11,2020-05-01,37257.0,160758.0,207428.0,169310.0,114431.0,11071.04750363893,197933.4009144556,43174.557608126175,32921.65473942684,89950.64552368506
12,2020-05-02,39699.0,161703.0,209328.0,170102.0,124054.0,7411.28206614813,199375.95478096112,32429.05821688888,34678.71960781447,95210.7259168189
13,2020-05-03,42505.0,162496.0,210717.0,170463.0,134687.0,4948.5609992626105,200803.5627783517,24238.351924886174,36527.98585689793,100737.86177796744
14,2020-05-04,46437.0,163175.0,211938.0,171025.0,145268.0,3298.545979791231,202215.72026378397,18051.489051851906,38474.12021225342,106540.79540543877
