India;Germany;Italy
0.0005447710271602728;1.7427181389573065;2.2389240573102818
0.006970767298240956;1.8405666162249978;2.2535424768903214
0.015369746902037854;1.908536863017671;2.2640268884390076
0.024305540522687;1.9762865089352826;2.2802405050748367
0.03303097068331768;2.0403099183328366;2.2939878964212386
0.053776743719451126;2.1072311120511693;2.305517204242448
0.06208883561247377;2.1508261610673647;2.313140389325988
0.06824855621717513;2.18478191097762;2.316955357946183
0.07925338565211595;2.2547651407552274;2.326072457732764
0.09389520820043912;2.3274267528963515;2.335344857126893
0.10527082010678702;2.3987791468006985;2.349173274355494
0.1322042343284348;2.4700871807464737;2.369978357649257
0.15658849241738337;2.551268302769042;2.396085572109406
0.1743351119700047;2.5990559673292024;2.416252576580853
0.17449943844181243;2.6280745737421607;2.430124882828978
0.1845599412605542;2.6879737059103075;2.471518980397307
0.1928138475156994;2.7506243544277247;2.523524092455258
0.20439051602179475;2.835592857778112;2.5947559711433072
0.22795896741996588;2.911358468101485;2.674630610599232
0.24872910880016766;2.992292613057409;2.7632729257247552
0.2667048476228192;3.050739855770668;2.8295183365791514
0.26720684971957387;3.0909599511819854;2.864010041807667
0.28882881747114386;3.1532413330172346;2.944431605968434
0.3100164177135775;3.2191854087291816;3.0280773250250292
0.33039567096239747;3.3001099623427113;3.120997131514966
0.33597616384351536;3.373227163247549;3.2220667913227357
0.3653797324526613;3.4585397560063202;3.325332590145936
0.3858278990943275;3.5189652130883364;3.4072632613626563
0.3875954210537329;3.56176777743923;3.4636707796867436
0.41688681002648265;3.6328983715507164;3.582831155734615
0.44065489712970335;3.7149031501013674;3.7055667988345102
0.46480790460657484;3.8122552754001706;3.8429816309260936
0.49117395557536636;3.90321836774679;3.977592629885755
0.5130397488570895;4.0047523183293645;4.110892022377323
0.5313189907872043;4.068784120151514;4.216012976295034
0.5322455562196802;4.114739838314425;4.292487904777033
0.5586560811925148;4.206745989146389;4.4040689847608885
0.5761254841895832;4.307947839498572;4.525006866099496
0.5896124035274842;4.415332508941469;4.670816317194722
0.6040911073644928;4.512838095718576;4.813595737903553
0.6168924450106754;4.619581344138876;4.946017350004634
0.6272075011145392;4.6945892384131245;5.059772624494158
0.6301810784934897;4.758540712742724;5.1288016120099265
0.6324371040500201;4.8652036336704745;5.240684851012815
0.6440431140316263;4.9760591701421895;5.369689871747845
0.6631809315829242;5.097894395819402;5.523453363612256
0.6848953995793251;5.206896405373483;5.676361019595941
0.7085082539368044;5.288409627626442;5.8103086191451
0.7275109444023357;5.365962824388491;5.913214865616042
0.7407354955342764;5.426588500742981;5.9476728100603085
0.7696714476983559;5.511034275932897;6.011868941310759
0.7914709562424238;5.624521436973958;6.140850329496814
0.8124424384013127;5.740046758273738;6.292952790776148
0.8438508894291418;5.8444041602735375;6.443677812058103
0.8746536130472724;5.951086263886076;6.582520725323441
0.9029207500770683;6.02936240808107;6.698738849023967
0.9194016366328341;6.089833424039457;6.768589911636211
0.9583967417656925;6.181922300199569;6.874203773003965
0.9859349598154852;6.270613443316617;6.988360800826059
1.0169371060044607;6.371189458577594;7.1235693656669365
1.0567374321625975;6.455988914518288;7.290877684172252
1.1032648421782918;6.545438972602258;7.459391262675275
1.1503218196478793;6.613375649696553;7.601706472600676
1.1708737826472244;6.660255733482684;7.693485164582979
1.2411466875404433;6.73464738400812;7.8419752219476155
1.2768688327815116;6.899922998305426;8.208612274779698
1.3619516520658108;6.981557311256109;8.438676827087223
1.5196586017446163;7.195357924560112;8.953430880617985
1.6083600846006956;7.28496983654698;9.107915165226123
1.67778862281971;7.398429422478658;9.31302036973798
1.7416768084328214;7.557841129819851;9.564416673573561
1.8085761540896417;7.722225948192316;9.876876107881236
1.8912928995230611;7.8869188884391885;10.222745214282229
1.9393333492577738;7.974658090823635;10.505037699823752
1.9542530988089988;8.05277477895133;10.723274161369458
2.0166375515633628;8.192086629388156;10.949547377605763
2.069023949820956;8.388357865549377;11.20267392163413
2.1455934074782803;8.674143901355729;11.473874301510474
2.2410857723638515;8.942165572130648;11.789505561498391
2.337028845047584;9.22223636678799;12.13127948476992
2.4245703094723288;9.404184132001618;12.476226921760901
2.447504757656314;9.52547864575137;12.706283033872364
2.5509965465566427;9.755992173176866;12.970736321016442
2.6503450065180063;10.114606470698437;13.251310382639664
2.716774249164039;10.562324339059996;13.536698732096868
2.79022910564365;10.747872454424758;13.861620959910251
2.8265112965298806;11.01467842255124;14.219274268053537
2.871089949467457;11.20587823642165;14.55703572211701
2.876364807899065;11.34426452231746;14.816043394761643
2.8934379233648997;11.582913905928642;15.175332412901819
2.9072501565438764;12.030465124716105;15.524017168709221
2.918304148935363;12.711661444220697;15.861395437871463
2.9314644045822256;13.313037413404865;16.30564515761475
2.9570865461319515;14.07556591857473;17.152156309730213
2.9615745130798836;14.254530776303831;17.477078537543594
2.9742314167800283;14.463313918617986;17.852706087221325
2.9835520597295933;14.935906933478309;18.257021863315074
3.0006435757817655;15.847531657244652;18.71430493381789
3.0136863944818497;16.610416241000895;19.22691686558802
3.023752012521504;17.239174293802048;19.719081578377434
3.049968159099671;17.530343470527015;20.0972310586386
3.0596914125618753;17.73825380068332;20.376458064970265
3.073310688240882;18.190778130502057;20.729923347827402
3.0940378475564736;18.918243085715165;21.069988975415903
3.112565177700835;19.82874802025701;21.2543701225162
3.1293406157274677;20.311073849811617;21.540491080991615
3.1568600069225137;20.92156758885905;21.83418627141341
3.168527115376128;21.295398551088656;22.13036625555597
3.1803417837441152;21.55166962851316;22.351165160626216
3.1962367643712177;22.050727554874047;22.606790002689046
