India;Germany;Italy
7.104473489309766e-10;5.994588996231729e-08;3.37607842495138e-08
7.104473489309766e-10;9.591342393970767e-08;3.37607842495138e-08
1.4208946978619533e-09;1.1989177992463458e-07;3.37607842495138e-08
2.13134204679293e-09;1.4387013590956152e-07;3.37607842495138e-08
2.13134204679293e-09;1.4387013590956152e-07;3.37607842495138e-08
2.13134204679293e-09;1.4387013590956152e-07;3.37607842495138e-08
2.13134204679293e-09;1.4387013590956152e-07;3.37607842495138e-08
2.13134204679293e-09;1.5585931390202496e-07;5.0641176374270706e-08
2.13134204679293e-09;1.5585931390202496e-07;5.0641176374270706e-08
2.13134204679293e-09;1.6784849189448843e-07;5.0641176374270706e-08
2.13134204679293e-09;1.6784849189448843e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;5.0641176374270706e-08
2.13134204679293e-09;1.9182684787941535e-07;3.37607842495138e-07
2.13134204679293e-09;1.9182684787941535e-07;1.046584311734928e-06
2.13134204679293e-09;1.9182684787941535e-07;2.61646077933732e-06
2.13134204679293e-09;1.9182684787941535e-07;3.86560979656933e-06
2.13134204679293e-09;1.9182684787941535e-07;5.435486264171722e-06
2.13134204679293e-09;2.5177273784173265e-07;7.646817632514876e-06
2.13134204679293e-09;3.1171862780404993e-07;1.105665684171577e-05
2.13134204679293e-09;6.354264336005634e-07;1.4989788206784128e-05
2.13134204679293e-09;7.912857475025883e-07;1.9041082316725786e-05
2.13134204679293e-09;1.4027338251182247e-06;2.8595384259338192e-05
3.552236744654883e-09;1.7983766988695189e-06;3.436847836600505e-05
3.552236744654883e-09;2.2539654625831303e-06;4.2234741096141766e-05
1.9892525770067344e-08;2.87740271819123e-06;5.214353127337407e-05
2.1313420467929298e-08;4.184223119369747e-06;6.512455281731213e-05
2.2023867816860274e-08;6.402221047975487e-06;7.825749789037299e-05
2.4155209863653203e-08;8.200597746845005e-06;9.930734686994485e-05
2.7707446608308088e-08;1.015483375961655e-05;0.00012449289192008214
3.0549236004031996e-08;1.3331965927619367e-05;0.0001548269565682703
3.978505154013469e-08;1.5537974678232642e-05;0.00017131909967415778
4.404773563372055e-08;1.878704191419024e-05;0.0002103634466587205
5.186265647196129e-08;2.8402362664145934e-05;0.00025511336618145106
5.825668261234008e-08;3.6710863012923114e-05;0.0002981077249232069
7.246562959095961e-08;4.5498930481398824e-05;0.0003571384561834818
8.028055042920035e-08;5.800364312753821e-05;0.00041773906391135904
8.454323452278621e-08;7.207893809069032e-05;0.0004723133716506981
1.0088352354819867e-07;8.579455771406852e-05;0.000531833634282591
1.1082978643323235e-07;9.828728118221544e-05;0.0006028494439514432
1.3782678569260947e-07;0.00013186896873910558;0.0006926868908393994
1.733491531391583e-07;0.00016733295724081248;0.0007937329180981943
2.3444762514722227e-07;0.00019976368371042616;0.0009044176492602253
2.813371501766667e-07;0.00022311860243974497;0.0009982726294738736
3.545132271165573e-07;0.00027181864344513155;0.0010791128273593344
3.807997790270035e-07;0.00032893508740122746;0.0011677180056221834
4.667639082476516e-07;0.000378306522374192;0.0012556648485921669
5.1649522267282e-07;0.000437700910148856;0.001360373920942034
6.301667985017762e-07;0.0005069983589452948;0.0014601201580072224
7.012115333948739e-07;0.0005824582452298597;0.0015609636205605201
7.274980853053201e-07;0.0006299953359699774;0.001649028626275377
8.887696335126517e-07;0.0006869559206121713;0.0017173942143806423
9.924949464565744e-07;0.0007422859770473901;0.0017858104436622821
1.4194738031640913e-06;0.0008076629646402933;0.0018665324788028697
1.8066676083314734e-06;0.0008814683443618984;0.0019453301492412347
1.823718344705817e-06;0.0009554895292873679;0.0020227267471332453
2.18959872940527e-06;0.0010284077098375306;0.0021038370312927023
2.549085087964344e-06;0.0010995754704007936;0.002176692803703153
3.394517433192206e-06;0.0011436596778790819;0.002237445334960153
3.773185870172417e-06;0.0011896261863021866;0.002288744846627289
4.203006516275657e-06;0.001237618865806018;0.002353498030817857
4.777758421560817e-06;0.0012972530371405313;0.0024244631993103347
5.39797895717756e-06;0.0013610714315944142;0.002491157628595249
6.000438309071028e-06;0.0014106227042372656;0.002570394189228858
6.5396678469096396e-06;0.001444444175354005;0.0026394687538033633
7.426306138375499e-06;0.0014748607199208848;0.0026926926301727217
8.160908697170129e-06;0.0014998221885011939;0.0027428611555674995
8.754132233527494e-06;0.0015296272849904579;0.002787881161364226
9.541307896143015e-06;0.0015639882691168582;0.002851790325948556
1.0196340351857377e-05;0.0016045116907313847;0.0029107535356403314
1.1169653219892813e-05;0.0016477806341061853;0.0029696829845478577
1.2514530051419153e-05;0.0016772500336116605;0.003021117539351992
1.3170983401831375e-05;0.0016985308245482831;0.0030591997039854436
1.426578276653401e-05;0.0017199315072648305;0.0031052662940939052
1.518225984665497e-05;0.0017467512984339713;0.003162153215554336
1.6394993471280145e-05;0.0017749498450722453;0.0032068187331164427
1.7427273469276857e-05;0.0018029685540406322;0.0032578143977253335
